type,component,label,family
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/services,Services,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/country-transaction,Country Transaction,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/members,Members,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/service-origin-geography,Service Origin Geography,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/service-destination-geography,Service Destination Geography,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/trade-area,Trade Area,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/mrets-product,MRETS Product,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/size-of-business-by-no-of-employees,Size of Business by no of Employees,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/hmrc-trade-statistic-type,HMRC Trade Statistic Type,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/hmrc-reporter-region,HMRC Reporter Region,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/hmrc-partner-geography,HMRC Partner Geography,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/cord-sitc,CORD SITC,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/cord-geography,CORD Geography,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/flow-directions,Flow,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/cpa,Product,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/gdp-estimate-type,GDP Estimate Type,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/alcohol-duty,Alcohol Duty,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/alcohol-content,Alcohol Content,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/alcohol-category,Alcohol Category,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/gdp-measure,GDP Measure,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/status,Status,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/alcohol-by-volume,Alcohol by Volume,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/alcohol-type,Alcohol Type,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/alcohol-origin,Alcohol Origin,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/production-and-clearance,Production and Clearance,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/growth,Growth,trade
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/trade/measure/gbp-total,GBP Total,NA
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/trade/measure/net-mass,Net Mass,NA
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/trade/measure/count-of-businesses,Count of Businesses,NA
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/trade/measure/count-of-employees,Count of Employees,NA
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/trade/measure/count,Count,NA
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/trade/measure/proportion-of-all-business,Proportion of all Business,NA
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/trade/measure/total-turnover,Total Turnover,NA
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/trade/measure/gbp-million,GBP Million,NA
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/trade/measure/percent,Percent,NA
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/trade/measure/suppressed,Suppressed,NA
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/trade/measure/index-deflator-series,Index deflator series,NA
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/trade/measure/index,Index,NA
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/trade/measure/quarter-on-quarter-a-year-ago,Quarter on quarter a year ago,NA
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/trade/measure/quarter-on-quarter,Quarter on quarter,NA
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/trade/measure/year-on-year,Year on year,NA
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/trade/measure/index-series,Index series,NA
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/trade/measure/implied-deflator,Implied Deflator,NA
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/trade/measure/chained-volume-measure,Chained volume measure,NA
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/trade/measure/current-price,Current Price,NA
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/trade/measure/average-value-per-ton,Average value per ton,NA
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/trade/measure/quantities-released-for-consumption,Quantities Released for Consumption,NA
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/trade/measure/revenue,Revenue,NA
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/trade/measure/net-quantities-of-spirits-charged-with-duty,Net Quantities of Spirits Charged with Duty,NA
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/trade/measure/uk-beer-production,UK Beer Production,NA
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/trade/measure/beer-clearances,Beer Clearances,NA
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/trade/measure/cider-cearances,Cider Clearances,NA
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/trade/measure/rates-of-duty,Rates of Duty,NA
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/trade/measure/alcohol-clearances,Alcohol Clearances,NA
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/trade/measure/production-of-potable-spirits,Production of Potable Spirits,NA
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/trade/measure/released-for-consumption,Released for Consumption,NA
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/trade/measure/clearance,Clearance,NA
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/trade/measure/gbp-per-hectolitre-of-product,GBP per Hectolitre of Product,NA
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/trade/measure/gbp-per-1-percent-abv-per-hectolitre,GBP per 1 percent ABV per hectolitre,NA
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/measure/exposure,Exposure,NA
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/measure/trade-in-goods,Trade in goods,NA
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/trade/measure/trade-in-services,Trade in Services,NA
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/trade/measure/gdp-current-prices,GDP at Current Market Prices,NA
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/measure/births,Births,NA
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/measure/area,Area,NA
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/trade-services,Trade Services,trade
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/measure/value-of-imports,Value of Imports,NA
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/industry-section,Industry Section,trade
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/measure/children,Children,NA
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/measure/families,Families,NA
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/measure/average-value-per-exporter,Average value per Exporter,NA
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/measure/average-value-per-importer,Average value per Importer,NA
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/measure/number-of-exporters,Number of Exporters,NA
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/measure/number-of-importers,Number of Importers,NA
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/measure/value-of-exports,Value of Exports,NA
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/cdid,CDID,trade
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/measure/bop-current-account,Balance of Payments Current Account,NA
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/measure/bop-capital-account,Balance of Payments Capital Account,NA
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/trade/measure/gdp-from-gva,GDP (based on GVA),NA
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/trade/measure/q-on-q-delta-gdp-from-gva,Quarter on Quarter Change in GDP,NA
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/trade/measure/q-on-last-year-q-delta-gdp-from-gva,Quarter on Last Year’s Quarter Change in GDP,NA
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/trade/measure/y-on-y-delta-gdp-from-gva,Year-on-Year Change in GDP,NA
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/trade/measure/trade-in-goods,Trade in Goods,NA
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/trade/measure/clearances,Clearance,NA
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/trade/measure/duty-receipts,Duty Receipts,NA
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/trade/measure/production,Production,NA
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/measure/clearances,Clearances,NA
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/measure/duty-receipts,Duty Receipts,NA
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/measure/production,Production,NA
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/measure/fuel-used-in-generation,Fuel Used in Generation,NA
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/measure/fuel-used-in-generation-representative,Fuel Used in Generation - Representative,NA
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/edvp/property/dimension/fuel,Fuel,edvp
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/energy/measure/total-devices,Total Devices,NA
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/energy/measure/total-devices-per-100-000-population,"Total Devices per 100,000 Population",NA
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/energy/measure/rapid-devices,Rapid Devices,NA
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/energy/measure/rapid-devices-per-100-000-population,"Rapid Devices per 100,000 Population",NA
